date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,TIME_idRehouse,TIME_count,TIME_paint,TIME_catalog,TIME_labels,TIME_number,LOTS_st,LOTS_tx,LOTS_uncataloged,ID_genusChange,ID_speciesChange,ID_sp,ID_rank-up,ID_rank-down,ID_new,REHOUSE_box3x1.5,REHOUSE_box3x3,REHOUSE_box3x4,REHOUSE_box3x6,REHOUSE_box4x6,REHOUSE_box6x6,REHOUSE_plastic3x3,REHOUSE_plastic6x6,REHOUSE_vial7dr,REHOUSE_vial3dr,REHOUSE_vial1dr
2018-08-08,183,11,1 of 2,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",0.75,,0.25,0.3,0.1,0.2,0,25,0,0,0,0,0,0,0,19,2,4,0,0,0,0,0,5,1,19
2018-08-08,183,11,2 of 2,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",0.5,,0.5,0.33,0.08,0.25,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,3,9
2018-08-08,183,12,1 of 3,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",0.5,,0.5,0.42,0.17,0.25,5,26,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,9,14,4
2018-08-08,183,12,2 of 3,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",0.5,,0.17,0.33,0.19,0.17,0,20,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,4,3,12
2018-08-08,183,12,3 of 3,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",0.5,,0.17,0.33,0.08,0.17,12,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,8,1,2
2018-02-21,199,05,1 of 3,"5327, 4966, 4993",Ladd,,Turonian,0.53,,0.03,0.2,0.08,0.03,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2018-02-21,199,05,2 of 3,4603,Ladd,,Turonian,0.33,,0.017,0.2,0.1,0.017,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
2017-09-13,199,06,1 of 3,24208,Ladd,Baker Canyon,Turonian,1.0,0.17,0.09,0.4,,0.16,23,1,2,1,4,0,0,0,0,1,2,2,1,1,0,0,0,7,4,2
2017-09-08,199,06,1 of 3,24235,Ladd,Baker Canyon,Turonian,2.75,0.25,0.28,0.6,,0.33,39,3,0,3,1,1,3,0,7,0,1,0,1,0,0,0,0,6,5,15
2017-09-13,199,06,2 of 3,24208,Ladd,Baker Canyon,Turonian,1.0,0.25,0.25,0.5,,0.25,23,1,0,1,4,0,0,0,0,1,2,2,1,1,0,0,0,7,4,2
